PLAYER,,,,,,,,,,,,,,,,,,,,,,,,
Robert Covington,83,7,0.47,0.88,2.1,5.1,1,0.9,1,1.4,12.7,4.6,9.7,1.4,1.6,-0.121420823,0.651910486,0.697722704,-0.139003231,-0.900146202,-0.132735972,0.504780604,0.449578945,-0.245122896
CJ Miles,84,2,0.47,1,2,2,2,0,1.5,0,13.5,4.5,9.5,2.5,2.5,-0.121420823,1.3755854,0.592326525,-1.256798345,-0.430463863,-1.851619065,1.268442638,1.785907019,-0.111130196
Danilo Gallinari,85,7,0.44,0.94,2.9,4.4,1.4,0.6,0.1,1.3,17.7,5.7,13.1,3.4,3.6,-0.475073706,1.013747943,1.540892135,-0.391408579,-0.712273267,-0.705697003,-0.869811056,0.54503095,0.592331481
Harrison Barnes,86,8,0.49,0.79,1.5,5.4,1.5,1.3,0.3,0.9,15.5,5.9,12,2.3,2.9,0.114347766,0.1091543,0.065345631,-0.03082951,-0.665305033,0.631212069,-0.564346243,0.926838971,0.223851555
Richaun Holmes,87,8,0.66,0.72,0,6.8,0.9,0.8,1.4,1.3,11,4.9,7.4,1.3,1.8,2.11838077,-0.312989401,-1.515597052,0.473981186,-0.947114436,-0.323722983,1.115710231,0.54503095,-0.529857385
Rudy Gobert,88,8,0.6,0.68,0,12.5,1.1,1.1,1,2.5,11.3,3.8,6.3,3.8,5.6,1.411075004,-0.554214372,-1.515597052,2.52928188,-0.853177968,0.249238049,0.504780604,-0.600393113,-0.479610122
Jordan Clarkson,89,7,0.44,0.95,1.7,1.4,2.7,0.9,0.6,1.1,15,4.7,10.7,3.9,4.1,-0.475073706,1.074054186,0.276137989,-1.473145787,-0.101686226,-0.132735972,-0.106149023,0.735934961,0.140106117
Dillon Brooks,90,7,0.44,0.96,2,4,1.7,1.1,0.3,1.3,15.1,5.4,12.4,2.3,2.4,-0.475073706,1.134360429,0.592326525,-0.535640207,-0.571368565,0.249238049,-0.564346243,0.54503095,0.156855205
Luke Kennard,91,9,0.44,0.88,2.7,3.4,4.2,0.2,0,1.8,16.8,5.2,11.9,3.7,4.2,-0.475073706,0.651910486,1.330099778,-0.751987648,0.602837282,-1.469645045,-1.022543463,0.067770924,0.441589693
PLAYER,,,,,,,,,,,,,,,,,,,,,,,,
Dwight Howard,92,7,0.78,0.31,0,7.9,1.1,0.7,2.1,0.9,6.7,3.1,4,0.4,1.3,3.532992302,-2.785545359,-1.515597052,0.870618162,-0.853177968,-0.514709993,2.184837078,0.926838971,-1.25006815
Buddy Hield,93,8,0.41,0.77,3.6,4.3,1.6,0.8,0.5,2.9,17.6,6.5,15.9,1,1.3,-0.828726589,-0.011458186,2.278665388,-0.427466486,-0.618336799,-0.323722983,-0.258881429,-0.982201135,0.575582394
Delon Wright,94,7,0.59,0.93,0.9,3,3.9,1.4,0,0.6,9.3,3.6,6.1,1.3,1.4,1.293190709,0.9534417,-0.567031442,-0.896219276,0.46193258,0.82219908,-1.022543463,1.213194987,-0.814591873
